School Number,School Name,Address,Suburb,Postcode,Latitude,Longitude
5982,Aldinga Beach Childrens Centre,Quinliven Road,Aldinga,5173,-35.268942,138.461849
5984,Keith War Memorial Comm Ctr Kgn CC,Anzac Terrace,Keith,5267,-36.098183,140.351118
5986,Andamooka Rural Care,,Andamooka,5722,-30.450885,137.167482
5987,Taikurrendi Children and Family Cent,8 Price Street,Christies Beach,5165,-35.137434,138.480271
5991,Stepping Stone Two Wells OSHC,15 Gawler Road,Two Wells,5501,-34.592419,138.5167297
5992,North Ingle OSHC,7 Rothwell Avenue,Ingle Farm,5098,-34.819515,138.644612
5993,Jamestown Comm Children's Ctr CC,Irvine Street,Jamestown,5491,-33.208703,138.605041
5995,Kangaroo Island CS  Penneshaw,Howard Drive,Penneshaw,5222,-35.72012,137.932463
5996,Playford McAuley Campus OSHC/Vac,210 Adams Road,Craigmore,5114,-34.689695,138.712944
5997,Hewett PS OSHC,Kingfisher Drive,Hewett,5118,-34.575612,138.749933
5998,Mount Compass Area School OSHC,School Road,Mount Compass,5210,-35.350288,138.619859
6003,Port Pirie Family Day Care,Mary Elie Street,Port Pirie,5540,-33.17859,138.008615
6006,Whyalla Family Day Care,115 Nicolson Avenue,Whyalla Norrie,5608,-33.028659,137.544945
6007,Port Lincoln Family Day Care,3/7 Mortlock Terrace,Port Lincoln,5606,-34.723766,135.8595238
6012,Adolescent Services Enfield Campus,Watson Avenue,Enfield,5085,-34.92782,138.60539
6015,St Michael's College: Primary School,78 East Avenue,Beverley,5009,-34.899607,138.550988
6016,Beafield EC:Brahma Lodge Campus,20 Mortess Street,Brahma Lodge,5109,-34.775528,138.650326
6017,Beafield EC:Silkes Road Campus,100 George Street,Paradise,5075,-34.870802,138.68457
6026,Christian Brothers':Junior School,324 Wakefield Street,Adelaide,5000,-34.927677,138.613528
6028,Saint Ignatius' College:Junior Sch,62 Queen Street,Norwood,5067,-34.923096,138.639948
6030,St Joseph's Mem Sch: Early Years,46 Bridge Street,Kensington,5068,-34.924145,138.646016
6032,Coromandel Valley PS OSHC/Vac,339 Main Road,Coromandel Valley,5051,-35.033562,138.626758
6034,Carol Murray Children's Centre CC,1 Dinning Terrace,Bordertown,5268,-36.310996,140.765457
6036,Goodstart EL Plympton,337 Anzac Highway,Plympton,5038,-34.966896,138.549455
6038,Jessie Brown Pre Kindergarten,123 Gloucester Avenue,Belair,5052,-35.006645,138.612317
6039,Goodstart EL Blakeview,66-72 Park Lake Boulevard,Blakeview,5114,-34.688417,138.697955
6050,Cowandilla PS OSHC/Vac,21 Jenkins Street,Cowandilla,5033,-34.933968,138.560378
6052,East Adelaide OSHC/Vac,59 Third Avenue,St Peters,5069,-34.90485,138.627299
6053,Echunga Primary School OSHC/Vac,802 Echunga Road,Echunga,5153,-35.097706,138.79085
6054,Eden Hills Primary School OSHC/Vac,78 Wilpena Street,Eden Hills,5050,-35.020546,138.595317
6055,Edwardstown Primary School OSHC/Vac,Maria Street,Melrose Park,5039,-34.978729,138.57801
6057,Norwood PS OSHC/Vac,96 Beulah Road,Norwood,5067,-34.918643,138.631114
6058,Flinders Park PS OSHC/Vac,70 Holbrooks Road,Flinders Park,5025,-34.911103,138.54754
6060,Glenelg Primary School OSHC/Vac,Diagonal Road,Glenelg East,5045,-34.98515,138.52158
6061,Glen Osmond Primary School OSHC,5 Fisher Street,Myrtle Bank,5064,-34.957051,138.637255
6062,Goodwood Primary School OSHC/Vac,140 Goodwood Road,Goodwood,5034,-34.951434,138.588694
6063,Goolwa PS-Southern Fleurieu OSHC/Vac,Gardiner Street,Goolwa,5214,-35.497553,138.780252
6064,Grange Primary School OSHC/Vac,39C Jetty Street,Grange,5022,-34.903696,138.49717
6065,Gumeracha Primary School OSHC/Vac,Albert Street,Gumeracha,5233,-34.824981,138.880956
6066,Hahndorf Primary School OSHC/Vac,12 Church Street,Hahndorf,5245,-35.027625,138.810629
6067,Camp Australia Rose Pk PS OSHC/Vac,54 Alexandra Avenue,Rose Park,5067,-34.93161,138.628893
6068,Happy Valley Primary School OSHC/Vac,18 Education Road,Happy Valley,5159,-35.087062,138.583603
6069,Highgate Primary School OSHC/Vac,12 Hampstead Avenue,Highgate,5063,-34.962788,138.622561
6070,North Adelaide PS OSHC/Vac,62-80 Tynte Street,North Adelaide,5006,-34.905096,138.597558
6071,Kangarilla/Clarendon OSHC-Kangarilla,Main Road,Kangarilla,5157,-35.147815,138.659484
6072,Alberton Primary School OSHC/Vac,14 Broad Street,Queenstown,5014,-34.862675,138.51264
6073,Largs Bay Primary School OSHC/Vac,215 Fletcher Road,Largs Bay,5016,-34.823557,138.49427
6074,Le Fevre Peninsula PS OSHC,Shorney Street,Birkenhead,5015,-34.840072,138.495412
